dialog_act,utterance
inform,i dont care
inform,im looking for a cheap restaurant in the north of town
inform,i want an expensive restaurant
thankyou,thank you goodbye
request,address
inform,i dont care
inform,i dont care
inform,any
inform,south
request,address
null,sil
inform,pan asian
request,address
request,what is the phone number and address
null,sil
request,popular dish
request,address
inform,moderate
inform,east
request,and what is the address
inform,international food
null,noise
request,address
thankyou,thank you good bye
request,can i have the address and post code
inform,im looking for a restaurant that serves chinese food
negate,no
reqalts,how about the center of town
confirm,does it serve asian oriental
thankyou,thank you bye
inform,swedish
inform,expensive restaurant serving kosher food
request,whats its phone number
thankyou,thank you good bye
thankyou,thank you good bye
request,what is the phone number
request,and price range
ack,well take that one
reqalts,how about an expensive restaurant that serves european food
inform,korean food
inform,turkey food
inform,cantonese
inform,im looking for a restaurant that serves mexican food
null,um what
request,what is the phone number
null,sil
reqalts,how about korean now
affirm,right
reqalts,what about expensive
thankyou,thank you good bye
request,whats the phone number
inform,spanish
thankyou,thank you good bye
inform,south
thankyou,thank you good bye
request,what is the phone number and post code
inform,italian
thankyou,thank you good bye
request,what kind of food is there
request,um could i have the address
request,may i have the phone number and address
thankyou,thank you good bye
request,whats the phone number and post code
affirm,yes
request,postcode
inform,im looking for something serves japanese food
inform,cheap
null,noise
inform,moderate
request,what is their phone number
inform,south
inform,expensive
affirm,right
inform,cheap
inform,any
inform,expensive
negate,no
inform,south
request,what is the address
inform,moderate
inform,danish food
request,can i get the address
inform,cheap
inform,modereate
negate,no im looking for asian oriental
inform,i dont care
reqalts,anything else
request,what type of venue
inform,west
null,unintelligible
inform,north
affirm,yeah
request,can you give me the address please
thankyou,thank you good bye
inform,i would like a restaurant in the west part of town that serves russian food
null,sil
request,address
inform,south part of town south
negate,no african
inform,the south part of town
inform,want something in the south side of town thats moderately priced
inform,food
request,whats the price range
reqalts,is there anything else
request,in what part of town
negate,no
inform,turkish food any price range
reqalts,what about portuguese food
request,can i have the address and the price range
affirm,yes
request,phone
negate,no
thankyou,thank you good bye
reqalts,is there anything else
reqalts,anything else
request,phone number
null,unintelligible
inform,vietnamese food
inform,chinese
request,type of food do they serve
thankyou,thank you goodbye
affirm,yes
inform,in the north part of town
null,sil
inform,modern european
inform,i want to find a restaurant in the centre that serves thai food
null,unintelligible
request,can i have the phone number
thankyou,thank you good bye
request,whats the address
inform,im looking for asian oriental food
inform,spanish
affirm,yes
inform,im looking for a restaurant that serves mexican food
affirm,yes indian food
thankyou,thank you good bye
thankyou,thank you
thankyou,thank you good bye
request,phone number
request,phone number
request,address
reqalts,is there anything else
request,address
inform,european
inform,chinese food
reqalts,anything else
inform,asian oriental
request,what is the address
inform,im looking for a thai restaurant
null,noise
repeat,again
inform,expensive
inform,thai
null,first one
repeat,repeat that
inform,unintelligible food
inform,im looking for a moderately priced restaurant in the north part of town
request,whats the address and post code
thankyou,thank you good bye
inform,venetian
inform,greek
inform,swedish food
null,sil
null,noise
inform,im looking for something cheap
inform,im looking for a cheap restaurant in the east part of town
inform,restaurant west
request,and whats the phone number there
inform,i would like to find a cheap restaurant and it should be in the south
request,can i have the address
inform,european food
reqalts,is there anything else
inform,id like an expensive restaurant in the south part of town
reqalts,next
confirm,is it moderately priced
inform,i need a cheap restaurant in the east part of town
thankyou,thank you good bye
request,phone number
request,what about the phone number
null,sil
inform,i dont care
inform,north
inform,modern european food
inform,im looking for a restaurant in the south part of town that serves jamaican food
hello,hi im looking for
thankyou,thank you good bye
reqalts,how about indian food
thankyou,thank you good bye
inform,the west part of town
request,address
request,phone number
inform,umh i dont care noise
request,whats their phone number
thankyou,thank you good bye
request,what is the phone number
request,what area is that
request,and can i have the phone number and ah the area where it is
thankyou,thank you good bye
null,unintelligible
request,and the post code
request,and what kind of food do they serve
request,what is the phone number
inform,north part of town please
inform,north
confirm,okay and is that british food
request,whats the address and phone number
affirm,yes
inform,cuban
request,what is the address
inform,north part of town
reqalts,what about korean
request,phone number
null,sil
inform,spanish
thankyou,thank you good bye
request,can i get the address
reqalts,is there anything else
thankyou,thank you goodbye
reqalts,what about international
inform,im looking for an expensive restaurant that serves korean
reqalts,is there anything else
inform,im looking for a sea food restaurant
inform,gastropub type food
null,unintelligible
reqalts,anything else
request,whats the phone number
request,address
request,what is the phone number
thankyou,thank you good bye
request,can i get the phone number
request,phone number
hello,hi i am looking for a moderately priced restaurant in the west
thankyou,thank you good bye
request,what is the price range
reqalts,how about korean food
thankyou,thank you good bye
inform,pan asian
inform,in the north part of town
request,address
inform,any
affirm,yes
request,address phone number and price range
inform,id like a restaurant in any area that serves
request,what is the post code
inform,center
thankyou,thank you goodbye
thankyou,thank you good bye
inform,i dont care
inform,i dont know
request,phone number
null,sil
inform,how about gastro pub type of food
inform,european food
inform,indian
inform,dont care
inform,im looking for a cheap restaurant in the east part of town
inform,find me an expensive restaurant
inform,any area
thankyou,thank you good bye
inform,north north part of town
null,can i get a
reqalts,how about asian oriental food
inform,basque food
inform,any area
thankyou,thank you good bye
request,whats the phone number
request,the address
inform,i dont care
thankyou,thank you good bye
null,uh
inform,im looking for a restaurant that serves
inform,any part
bye,good bye
inform,i dont care
thankyou,thank you good bye
inform,polynesian food
reqalts,what about turkish food
inform,traditional
request,whats the phone number
inform,in the north part of town
inform,any
thankyou,thank you good bye
confirm,is there a thai restaurant in the west of town
negate,no
request,phone number
reqalts,anything else
request,part of town
inform,expensive restaurant serving world food
inform,i dont care
inform,i would like portuguese food
request,phone number
affirm,yes yes
inform,dont care
inform,spanish food
inform,im looking for tuscan food
inform,italian food
bye,good bye
inform,expensive
request,whats the address and post code
inform,spanish food
thankyou,thank you good bye
request,phone number
thankyou,great thank you good bye
inform,doesnt matter
null,unintelligible
thankyou,thank you good bye
inform,im looking for a restaurant in central it should serve japanese food
request,whats the address
request,what is the phone number
inform,south part of town
request,can i have the phone number
thankyou,thank you goodbye
thankyou,thank you good bye
request,what type of food
inform,international
reqalts,how about chinese food
request,the phone
inform,austrian food
reqalts,what about in any area
inform,expensive restaurant
thankyou,thank you goodbye
inform,cuban food
bye,bye
thankyou,thank you goodbye
request,can i have the address and phone number
inform,any
request,what is the address and phone number
inform,any
request,and address
inform,looking for moderately priced restaurant in the north part of town
thankyou,thank you good bye
reqalts,is there anything else
negate,uh no im loo ah change it to british
request,could i have the address and phone number please
inform,moroccon
thankyou,thank you good bye
request,what is the postcode
thankyou,thank you good bye
null,what
inform,south
request,whats the address
request,can i get the address and phone number
inform,international food
reqalts,how about indian
thankyou,thank you good bye
inform,unusual food
thankyou,i know thank you goodbye
reqalts,what about asian oriental
inform,any
request,whats the address and phone number
inform,restaurant south part of town christmas food
inform,moderate
request,what is the post code
null,sil
inform,chinese food
inform,are there mediterranean restaurants in the center of town
inform,it doesnt matter
reqalts,anything else
inform,again i do not care
inform,in the east part
inform,vietnamese food
request,what is the address
inform,can i find a moderately priced restaurant
inform,brazilian
thankyou,thank you good bye
inform,that can serve kosher food
hello,hi im looking for a cheap restaurant with lebanese food
inform,moderately priced priced restaurant chinese food
inform,cheap cheap restaurant
thankyou,thank you good bye
request,whats the address
null,cough
affirm,right
request,phone number
thankyou,thank you good bye
affirm,yes
request,phone number
inform,moderate
request,address
negate,no
request,cool whats the phone number
negate,no
inform,i dont care
request,whats the address and phone number
reqalts,anything else
request,whats the price range
inform,i dont care
inform,food
thankyou,thank you good bye
thankyou,thank you goodbye
thankyou,thank you good bye
thankyou,thank you good bye
inform,i dont care
reqalts,how about chinese
affirm,yes
thankyou,thats everything thank you
reqalts,how about thai food
inform,id like an expensive restaurant in the east part of town
request,postcode
request,whats the phone number
inform,turkish restaurant
inform,korean
inform,west
thankyou,thank you good bye
thankyou,thank you goodbye
reqalts,how about italian food
reqalts,how about chinese
inform,i need chinese food
null,unintelligible
request,what is the area
inform,i want to find a cheap restaurant
request,alright whats their address
inform,moderate priced
reqalts,is there a restaurant that serves modern european
reqalts,how about italian
inform,in west part of town
inform,moderately priced restaurant in the west part of town
null,sil
request,area
thankyou,thank you good bye
request,phone number
inform,japanese food
negate,no
inform,find restaurant
request,what is the phone number
thankyou,thank you good bye
reqalts,next
inform,i would like korean food
negate,no
request,what is the phone number and post code
request,address
inform,id like to find a restaurant serving crossover food
request,phone number
inform,dont care
request,phone number
inform,it doesnt matter
request,whats the address and phone number
thankyou,thank you good bye
inform,hungarian food
inform,chinese
request,could i have the address and phone number please
inform,north american
request,the price range
inform,north
inform,indonesian food
reqalts,how about british type of food
request,whats their address
null,noise
reqalts,is there another alternative
inform,serve persian food
inform,australian food
null,what is the
inform,french food
thankyou,okay thank you good bye
affirm,yes part of town
thankyou,thank you good bye
request,address
bye,good bye
request,phone number
affirm,yes
inform,im looking for world food
inform,i need a moderately priced restaurant serving fusion food
inform,find gastropub
inform,expensive restaurant south part of town
request,price range
inform,moroccan food
inform,brazilian food
inform,im looking for venison food cross talk
request,may i have its address
request,area
request,address
inform,it does not matter
affirm,correct
request,address
inform,restaurant center serves spanish food
request,what is the address
affirm,yes
request,whats the post code
inform,im looking for a restaurant in the center of town
inform,cheap price range
inform,im looking for a restaurant in the center park of town that serves
request,does it what kind of food does it serve
inform,any
thankyou,thank you good bye
inform,asian oriental
null,unintelligible
null,sil
inform,west
request,whats the phone number
request,whats the address
inform,in the south part of the town
request,part of town
thankyou,thank you good bye
inform,north
thankyou,thank you good bye
request,phone number
inform,any kind
request,address
inform,im looking for a restaurant in the center that serves corsica
inform,breath id like a cheap restaurant in the north part of town
reqalts,is there anything else
inform,it doesnt matter
request,can i get the address and phone number
inform,i would like a moderately priced restaurant
request,what area is it in
request,what is the address phone number and the price range
inform,i want to find a restaurant
null,what is the
request,phone number and pri
inform,seafood
request,can i get the phone number
inform,west part of town
null,unintelligible
request,phone number please
request,may i have the address
inform,looking for a restaurant in the south part of town serving
request,post the phone number
thankyou,thank you good bye
inform,japanese
request,okay could i have the phone number and post code
request,the address
thankyou,thank you good bye
thankyou,thank you good bye
inform,im looking for a restaurant in the center
request,what is the phone number
reqalts,what about thai food
inform,expensive
hello,hi im looking for a moderately priced restaurant in the south part of
request,what type of food is it
request,can i get the address phone number and area
inform,belgium food
null,sil
inform,the south
inform,caribbean food
inform,im trying to find a moderately priced restaurant that serves swedish food
inform,pan asian food
affirm,yes
inform,i want a moderately priced restaurant that
inform,im looking for a moderately priced restaurant in the north part of town
inform,doesnt matter
affirm,yes
null,sil
thankyou,thank you good bye
request,could i have the phone number
thankyou,thank you good bye
inform,spanish food
inform,the north part
request,address
null,unintelligible
request,address
inform,price over food west part of town
inform,cheap restaurant north part of town
thankyou,thank you good bye
inform,cheap restaurant
request,phone number
request,telephone number
inform,a restaurant in the south part of town serving italian food
inform,mexican food
thankyou,thank you good bye
inform,iam looking for a restaurant that serves bistro food
inform,a restaurant in the west part of town
inform,any
request,what is the address
affirm,yes
request,phone number
inform,east
request,post code
inform,looking for a restaurant in the east part of town
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you goodbye
thankyou,thank you good bye
request,telephone number
affirm,yes
thankyou,thank you good bye
request,and the price range
inform,tuscan food
bye,good bye
inform,im looking for a restaurant that serves african food
reqalts,is there anything else
inform,doesnt matter
request,address
request,and the phone number
request,phone number
request,address
thankyou,thank you good bye
inform,im looking for an expensive restaurant in the east
negate,no belgium
reqalts,how about a restaurant that serves french food
inform,i want to find a expensive restaurant that serves mediterranean
request,and whats the phone number
inform,expensive
request,phone number
inform,im looking for moderately priced restaurant in the south part of town
request,what is the address
request,and the address
inform,do you have modern european food
thankyou,thank you good bye
request,can i have the address the phone number
request,whats the post code
request,and can you tell me the post code
request,price range
inform,i dont care
request,phone number
reqalts,how about italian food in the west of town
inform,north american
null,sil
reqalts,what about chinese food
thankyou,thank you good bye
request,address
request,can i have the address
null,noise
reqalts,how about vietnamese food
request,okay and can i get the phone number
thankyou,thank you good bye
request,what is the address
request,and the phone number
request,may i have the phone number please
thankyou,thank you good bye
inform,im looking for a cheap restaurant in the north
null,noise
request,price
inform,cantonese
request,may i have the address pleas
inform,south
inform,it doesnt matter
thankyou,thank you good bye
null,unintelligible
request,what kind of food is it
request,and the phone number
reqalts,whats the next one
inform,expensive restaurant in the east part of town
inform,doesnt matter
affirm,yes
thankyou,thank you good bye
request,phone number
null,noise
null,that serves
reqalts,are there any other restaurants
null,sil
reqalts,what about indian food
inform,east
request,area
request,whats its phone number
affirm,yes
inform,doesnt matter
inform,italian
request,could i have the phone number and address please
inform,north
request,what kind of food does it serve
request,and the phone number
request,and the post code
thankyou,thank you good bye
thankyou,thank you
thankyou,thank you good bye
bye,goodbye
null,sil
thankyou,thank you goodbye
affirm,yes
inform,danish
reqalts,how about indian food
thankyou,thank you goodbye
inform,id like moderately priced moroccan food
inform,iam looking
thankyou,thank you good bye
inform,i dont care
inform,korean
request,what is the address
null,okay uh what about the other
inform,im looking for a restaurant in the north part of town serving indian food
reqalts,how about vietnamese
request,price range
request,could i get the address
null,sil
request,what is the phone number
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
confirm,is it asian oriental
inform,japanese
reqalts,how about european food
inform,i dont care
request,whats the phone number
inform,south
inform,i dont care
null,unintelligible
negate,no
inform,west
null,noise
inform,serving austrian food
inform,i dont care about the price range
inform,any
thankyou,thank you good bye
inform,east of town
thankyou,thank you good bye
request,whats the area
inform,australian
inform,south
inform,moderately priced restaurant
null,noise
inform,can i have a british restaurant
thankyou,thank you good bye
null,so
affirm,yes yes
inform,any
reqalts,is there anything else
inform,it doesnt matter
request,what is the post co
inform,dont care
thankyou,thank you goodbye
null,unintelligible
request,can i get the area
request,can i have the address and the post code
request,what is the phone number
inform,dont care
inform,mexican
request,what is the address
thankyou,thank you good bye
inform,spanish
thankyou,thank you good bye
request,address
inform,i dont care
affirm,yes
inform,im looking for a cheap restaurant serving belgain food
inform,malaysian food
request,where is the area of the venue
thankyou,thank you good bye
inform,spanish food
thankyou,thank you good bye
request,what is the phone number
inform,moderately priced restaurant
request,what type of food
null,unintelligible
request,address
thankyou,thank you goodbye
request,what is the area of the venue
request,address
inform,how bout thai
inform,south
affirm,yes
repeat,back
reqalts,how about vietnamese
inform,uh just pick a restaurant
request,whats the address
request,price range
request,address
request,can i get the phone number
thankyou,thank you good bye
thankyou,thank you good bye
inform,a restaurant in the center
inform,i dont care
reqalts,how about asian oriental food
request,what is the phone number
inform,south part of town
request,address
thankyou,thank you good bye
thankyou,thank you good bye
affirm,right
inform,cheap
inform,i need to find one in the south part of town
thankyou,thank you good bye
inform,cheap restaurant
request,phone number
request,whats the phone number
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,spanish
inform,moderately priced
inform,i dont care
thankyou,thank you good bye
request,what type of food
thankyou,thank you goodbye
reqalts,how about vietnamese food
inform,restaurant
inform,korean food
request,post code
request,okay whats the phone number
inform,international
inform,i want a modern european
inform,it doesnt matter in the south part of town
inform,i do not care
negate,no
inform,looking for portuguese food in the south part of town
inform,im looking for a moderately priced restaurant and it should serve
request,the phone number
inform,chinese
inform,thai food
thankyou,thank you good bye
inform,welsh food
inform,french
inform,spanish food any area
inform,any price range
reqalts,what about asian oriental food
request,and whats the price range
inform,i want to find an expensive restaurant that serves unusual food
affirm,yes
inform,german food
thankyou,thank you good bye
null,oh my god
inform,center
inform,dont care
thankyou,thank you good bye
inform,italian food
inform,steak house
inform,vietnam
thankyou,thank you good bye
inform,any part of town
inform,gastropub food
inform,i dont care
thankyou,thank you good bye
inform,south part of town
null,sil
reqalts,how about vietnamese food
request,phone number
inform,id like a restaurant in the north part of town that serves traditional food
thankyou,thank you good bye
reqalts,how about one serving jamaican food
inform,id like an expensive restaurant in the east part of town
request,price range
null,there
request,phone number
request,phone number
reqalts,is there anything else
inform,indian food
inform,moderately priced north part of
thankyou,thank you
inform,do you have chinese food
reqalts,is there anything else
null,unintelligible
inform,i dont care
request,address
inform,it doesnt matter
reqalts,what about asian oriental
reqalts,how about chinese
inform,im looking for an expensive restaurant in the east part of town
null,dont
thankyou,thank you good bye
inform,i dont care
inform,dont care
inform,chinese
negate,no
thankyou,thank you goodbye
thankyou,thank you good bye
thankyou,thank you good bye
request,address
request,what is the phone number and address
inform,portuguese food
request,what is the address
inform,south
inform,east part of town
thankyou,thank you good bye
request,phone number
request,and phone number
request,what is the post code
thankyou,okay thank you bye
request,address
thankyou,thank you good bye
inform,moderately priced restaurant in the south part of town
request,address and phone number
inform,vietnamese food in any area
inform,moderate restaurant south part of town
null,unintelligible
request,phone number
inform,thai food
request,can i have an address
affirm,yes cheap restaurant
inform,i want a moderately priced restaurant in the east
request,what is the address and phone number
request,phone number
request,uh whats the address
request,address
reqalts,anything else
inform,i dont care
inform,asian food
request,whats the address
thankyou,thank you good bye
inform,i am looking for a restaurant in the north part of town it shou
request,could i have its number
null,noise
thankyou,thank you good bye
reqalts,is there another one
inform,swedish food
inform,im looking for a restaurant in any area that serves austrian food
thankyou,thank you good bye
reqalts,what about indian food
request,uh whats the address
request,uh can i have the phone number
inform,malaysian food
thankyou,thank you goodbye
inform,i am searching for a restaurant in the center that serves
request,what about the address
request,phone number
request,can i get the address and phone number
request,area
inform,doesnt matter
inform,i would like a cheap restaurant
inform,expensive
inform,any kind
thankyou,thank you good bye
reqalts,what are my other options
inform,west
thankyou,thank you good bye
null,noise
null,unintelligible
inform,noise i am looking for a moderately priced restaurant unintelligible
thankyou,thank you good bye
inform,tha thai
inform,gastropub food
request,phone number
inform,spanish
request,phone number
affirm,yes please can i have the address and the price range of the restaurant please
request,and the price range
inform,it should be in the north part of town
request,what type of food do they serve
request,wha what type of food
inform,east
thankyou,thank you good bye
request,post code
inform,im looking for a moderately priced restaurant that serves christmas food
negate,no
inform,cheap restaurant in the south part of town
request,the address
inform,im looking for a restaurant in the center that serves international
thankyou,thank you goodbye
affirm,yes
affirm,yes
inform,dont care
inform,im looking for a moderately priced restaurant that serves greek foo
inform,how bout chinese food
thankyou,thank you good bye
request,what is the address phone number and post code
inform,id like a cheap restaurant in the south part of town
request,price range
thankyou,thank you good bye
negate,no
thankyou,thank you good bye
request,what is the phone number
reqalts,um what about chinese
inform,indian food
inform,can i find a restaurant
inform,east part of town
affirm,yea i want indian food
null,sil
request,phone number
request,what is the phone number
request,what type of food is
inform,spanish food
inform,i want to find a cheap restaurant in the south part of town
thankyou,thank you good bye
inform,cheap restaurant in the west part of town
thankyou,thank you
inform,gastropub food
inform,im looking for corsica food
affirm,yes
request,and the address
inform,i am looking fora restaurant that should serve
inform,im looking for a restaurant
request,phone number
inform,i dont care
request,can i get the phone number
inform,cambridge vietnamese food
inform,i want to find a cheap restaurant in the south part of town
inform,afghan food
inform,isian food
inform,kosher food in the north
inform,need a restaurant serving brazilian food
inform,i need a cheap restaurant in the west part of town
request,what is the address and phone number
inform,could i have a restaurant that serves turkish food
request,phone number
inform,restaurant with scandin
inform,im looking for a moderately priced restaurant that serves
inform,hungarian food
inform,i dont care
inform,a cheap
null,care
inform,anything
request,whats the address
inform,um i need a vietnamese restaurant in any price range
thankyou,thank you goodb
thankyou,thank you good bye
request,phone number and address
reqalts,what about french food
inform,i need a moderately priced restaurant in the south part of town
inform,dont care
inform,im looking for a restaurant in the west part of town
request,can i have the phone number
inform,i need a cheap restaurant in the south part of town
inform,im looking for a moderately priced restaurant that serves european food
request,and the post code
inform,im looking for an expensive restaurant in the south part of town
inform,indian type food
inform,north
request,could i have the address phone number and price range please
inform,expensive
inform,food
null,cough
request,and the phone number
inform,looking for a restaurant in the north of town
inform,i am looking for a moderately priced restaurant that serves russian food
request,may i have the phone number
thankyou,thank you good bye
inform,doesnt matter
affirm,yes
inform,center
request,address
null,bout
request,phone number
request,what is the phone number and addre
inform,im looking for a moderately priced restaurant and it should be in the east part of town
request,could i get the address please
request,the address
reqalts,how about vietnamese food
inform,oh i dont care
inform,um moderate
null,unintelligible
inform,im looking for an expensive restaurant in the south part of town
thankyou,thank you good bye
affirm,yes
inform,im looking for restaurants in the east part of town
inform,canapes
request,whats the postcode
inform,id like an expensive thai restaurant
inform,i need an expensive restaurant in the east part of town
affirm,yes
inform,scandinavian
null,how about unintelligible
inform,italian food in the center
request,can i have the address of the venue
inform,im looking for a cheap restaurant in the north part of town
null,sil
bye,good bye
reqalts,uh is there any restaurant that serves indian food
inform,i am looking for a restaurant in the center
inform,south
affirm,yea the area
inform,persian
request,what is their phone number
inform,id like a cheap restaurant in the north part of town
inform,chinese food
thankyou,thank you good bye
request,how about the address
thankyou,thank you good bye
inform,i dont care
inform,i would like an expensive restaurant
inform,chinese
bye,good bye
request,address
request,uh price range
inform,afghan
inform,mexican
request,what type of food do they serve
reqalts,how about spanish food
request,phone number
inform,vietnamese food
thankyou,thank you
inform,im looking for a cheap restaurant
request,area
null,unintelligible
thankyou,thank you good bye
inform,irish
inform,i am looking
confirm,does it serve african food
null,duration
affirm,yes
request,can i get the address
request,and their phone number
thankyou,thank you good bye
null,sil
inform,moderately
bye,good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,uh any
inform,any type
thankyou,thank you good bye
reqalts,is there a restaurant serving british food
inform,dont care
inform,i dont care in the north part of town
reqalts,is there anything else
request,phone number
inform,i dont care what price range
request,address
request,address
reqalts,what about gastropub
thankyou,thank you good bye
null,noise
affirm,uh yes turkish food
confirm,does it serve canapes
inform,i dont care
affirm,yes
thankyou,thank you good bye
inform,any price range
request,phone number
inform,world food
request,address and phone number
request,price range
inform,is there is no such venue that have asian oriental type of food
inform,i need a restaurant in the west part of town that serves english food
request,what is the address and post code
thankyou,thank you good bye
affirm,right
reqalts,is there a restaurant serving vietnamese food
inform,im looking for a restaurant in the west part of town
inform,looking for a cheap restaurant east part of town
thankyou,thank you good bye
request,what is the phone
request,what is the phone number
inform,doesnt matter
thankyou,thank you goodbye
request,phone number
request,address
request,and what type of food do they serve
thankyou,thank you good bye
inform,i want to find a moderately priced restaurant in the east part town
inform,i want a french restaurant that serves expensive food
null,sil
reqalts,what about european food
inform,thai
inform,south
inform,any price range
null,noise
inform,im looking for a unintelligible food
request,whats the address
thankyou,thank you good bye
inform,east part of town
request,the phone number
inform,swedish food
inform,im looking for a restaurant in the center
inform,i want to find a moderately
inform,i want to find a restaurant in the west part of town that serves vietnamese food
affirm,yes id like a restaurant in the east part of town that serves indian food
request,address
inform,any type
inform,any
affirm,yes
null,noise
inform,italian food
request,what is the phone number and address
inform,cheap
inform,im looking for a moderately priced restaurant in the south part of town
thankyou,thank you good bye
inform,spanish food in any area
reqalts,how about north american type of food
request,uh okay how about the address
request,and the phone number
inform,cheap restaurant
request,what kind of food does it serve
request,what are the price ranges
inform,malyasian
request,what is the post code
request,give me the address
request,address
request,what is the address of prezzo
reqalts,how about thai food
thankyou,thank you bye
inform,how european
null,cough
request,whats the phone number
inform,i want to find a cheap restaurant and it should be in the east part of town
inform,south part of town
null,noise
inform,i want to find a restaurant in any area
inform,hungarian food
request,what is the address and phone number
inform,im looking for an expensive restaurant in the south part of town
null,noise
inform,id like to find a restaurant serving portuguese food
null,noise
request,can i get the phone number
request,what is the address
inform,portuguese food
thankyou,thank you good bye
request,the address
null,noise
request,phone number
thankyou,thank you good be
thankyou,thank you good bye
null,noise
request,phone number
inform,any price range
inform,im looking for a moderately priced restaurant in the south part of town
inform,a restaurant in
inform,im looking for north american food
inform,doesnt matter
thankyou,thank you good bye
inform,im looking for an expensive restaurant
thankyou,thank you good bye
inform,im looking for gastropub food
request,phone number
null,sil
inform,chinese food
inform,any
inform,moderately
inform,im looking for a cheap restaurant
inform,a cheap restaurant in the west part of town
request,whats the phone number
inform,in the center
negate,no
inform,west
inform,east
inform,im looking for a restaurant in the north part of town that serves thai food
negate,no
inform,im looking for an expensive restaurant serving asian oriental
request,what is the address
inform,cheap restaurant
request,whats the address
reqalts,is there anything else
inform,catalan
affirm,yes
request,phone number
inform,im looking for a restaurant that serves afghan food
inform,uh doesnt matter expensive
thankyou,thank you good bye
inform,im looking for a cheap spanish restaurant
inform,west part of town
inform,doesnt matter
thankyou,thank you good bye
thankyou,thank you goodbye
request,what is the address
request,phone number
thankyou,thank you good bye
inform,dont care
request,phone number
inform,moderately priced
affirm,yes
inform,gastropub food
inform,i want a jamaican food restaurant in the center part of town
affirm,yes
inform,any
request,whats the address
inform,im looking for a restaurant in the north part of town serving italian type of food
affirm,yeah do you have thai food
request,post code
inform,the south part of town
reqalts,how about the center area
confirm,is it expensive
inform,cheap restaurant
inform,what about vietnamese
request,what is their address
request,address
affirm,yes
reqalts,how about italian food in the west part of town
request,whats the price range
affirm,yes
null,unintelligible
inform,i dont care
request,excellent can you give me the phone number please
affirm,yes
inform,any kind
request,price range
inform,im looking for an expensive restaurant that serves unusual food
request,okay can i have the phone number
reqalts,how about european food
inform,katalian food
hello,hello darling im looking for a restaurant in the north part of town
inform,korean
hello,hello
thankyou,thank you good bye
inform,um chinese food
thankyou,thank you good bye
reqalts,how about chinese food
inform,gastropub
request,and the phone number
request,what is the address
request,the address
thankyou,thank you goodbye
thankyou,thank you good bye
thankyou,thank you good bye
null,sigh
request,phone number
request,and the phone number
reqalts,how about north american food
request,address
inform,afghan noise
reqalts,is there anything else
inform,any part
bye,you good bye
affirm,yes
thankyou,thank you
inform,restaurant
thankyou,thanks us
thankyou,thank you good bye
request,okay whats the phone number
null,noise
request,can i have the phone number of the venue
inform,cheap food
inform,south
thankyou,thank you good bye
request,can i get the phone number
request,whats the phone number
inform,im looking for an expensive restaurant in the south part of town
inform,barbecue food
inform,caribbean food
thankyou,thank you good bye
request,address
request,what is the phone number
inform,im looking for a cheap restaurant serving kosher food
null,noise
reqalts,how about vietnamese type of food
thankyou,thank you good bye
inform,a moderately priced restaurant in the
reqalts,another place
inform,i need a restaurant that serves
thankyou,thank you good bye
thankyou,thank you good bye
reqalts,anything else
inform,jamaican
request,price range
inform,that serves in the moderate food price
request,what food is in the west part of town
inform,i want to find a restaurant serving world food
request,may i have the address and phone number
thankyou,thank you
request,phone number
inform,welsh food
inform,afghan
request,what is the address
request,can i get the address phone number and post code please
reqalts,anything else
inform,expensive restaurant in the east of town
request,can i have the phone number
reqalts,how about korean food
inform,im looking for a expensive restaurant serving mediterranean food
null,7:30
request,and the phone number
inform,moderate price in south
thankyou,thank you good bye
inform,moderately priced restaurant
request,what area
confirm,is it chinese food
inform,west
inform,australian
affirm,ye
request,where is it
inform,what about indian foods
inform,cheap
request,whats their address
request,what is the address phone number and post code
inform,any price range
thankyou,thank you good bye
negate,no thai food
inform,i need a restaurant serving turkish food
request,whats the address
confirm,is it moderate
inform,gastropub
thankyou,thank you good bye
inform,cheap restaurant
thankyou,thank you good bye
request,address
inform,gastropub
inform,i dont care
bye,good bye
request,uh whats the address and phone number
request,address
inform,thai food
thankyou,thank you
request,phone number
inform,italian food
inform,any price range
thankyou,thank you good bye
thankyou,thank you good bye
ack,okay and what about the address
request,phone number
request,address
negate,no singaporean
request,whats the address
inform,i dont care
inform,im looking for cheap restaurants in the north part of town
request,what is their address
request,may i have the address and phone number
inform,thai food
inform,south
request,what is the address
request,address
reqalts,anything else
inform,restaurant in south part of town serves
reqalts,what about european food
inform,east
request,can i have the phone number
thankyou,thank you good bye
request,the phone number
request,what is the price range
inform,cheap restaurant
thankyou,thank you good bye
inform,can you do anything else beside repeat yourself
request,address phone number post code
null,noise
request,address
inform,creative food
bye,see you goodbye
inform,im looking for a cheap restaurant in the east part of town
reqalts,anything else
request,phone number
inform,any
inform,west part of town
request,type of food do they serve
request,what is the address
inform,turkish food
negate,no im looking for a moderately priced restaurant that
inform,moderately priced in the north part of town
thankyou,thank you goodbye
request,phone number
confirm,does it serve christmas food
null,what was
inform,chinese food
thankyou,thank you good bye
inform,doesnt matter
inform,i dont care
request,their phone number
inform,a cheap restaurant in the south part of town
request,phone number
thankyou,thank you good bye
